,Date,Startup,Industry,Location,Investor,Type,Amount
0,01-04-2021,BYJU'S,Education,Bangalore,Innoven Capital,Series F,460000000.0
1,05-04-2021,Meesho,E-Commerce,Bangalore,SoftBank Vision Fund 2,Series E,300000000.0
2,14-04-2021,Swiggy,Consumables,Bangalore,"Amansa Holdings, Carmignac, Falcon Edge Capital, Goldman Sachs, Think Investments",Series J,343000000.0
3,07-04-2021,Groww,Finance,Bangalore,"MC Global Edtech, B Capital, Baron, others",Series D,83000000.0
4,14-04-2021,Beldara,E-Commerce,Mumbai,Hindustan Media Ventures,Unknown,7400000.0
5,04-03-2021,DealShare,E-Commerce,Jaipur,Innoven Capital,Debt,250000000.0
6,31-03-2021,Uniphore,Software,Outside India,Sorenson Capital Partners,Series D,140000000.0
7,30-03-2021,Dunzo,E-Commerce,Bangalore,Krishtal Advisors Pte Ltd,Series E,8000000.0
8,30-03-2021,BYJU'S,Education,Bangalore,"MC Global Edtech, B Capital, Baron, others",Series F,460000000.0
9,23-03-2021,SkilloVilla,Education,Bangalore,"Titan Capital, others",Seed,300000000.0
10,25-03-2021,CityMall,E-Commerce,Gurgaon,Accel Partners,Series A,11000000.0
11,26-03-2021,DotPe,Finance,Gurgaon,PayU,Series A,27500000.0
12,11-02-2021,Doubtnut,Education,Gurgaon,"SIG Global, Sequoia Capital, WaterBridge Ventures and ON Mauritius",Series B,2500000.0
13,22-02-2021,Zomato,Healthcare & Hospitality,Gurgaon,"Tiger Global, Kora",Unknown,250000000.0
14,19-02-2021,Fingerlix,Healthcare & Hospitality,Mumbai,"Rhodium Trust, Accel Partners and Swiggy",Series C,2747045.2
15,17-02-2021,Zolve,Finance,Mumbai,Accel Partners and Lightspeed Venture Partners,Seed,15000000.0
16,15-02-2021,KreditBee,Finance,Bangalore,Azim Premji’s PremjiInvest and South Korea’s Mirae Asset Venture,Series C,75000000.0
17,12-02-2021,Pepperfry,E-Commerce,Mumbai,InnoVen Capital,Debt,4773958.0
18,12-02-2021,Grofers,E-Commerce,Gurgaon,SoftBank Vision Fund (SVF),Unknown,55000000.0
19,09-02-2021,Nothing,Software,Outside India,GV,Series A,15000000.0
20,09-02-2021,SplashLearn,Education,Gurgaon,Owl Ventures,Series C,18000000.0
21,15-01-2021,Digit Insurance,Finance,Bangalore,"A91 Partners, Faering Capital, TVS Capital Funds",Unknown,18000000.0
22,28-01-2021,Bombay Shaving Company,Consumables,Delhi,Reckitt Benckiser,Unknown,6172258.5
23,19-01-2021,DeHaat,Agriculture,Patna,Prosus Ventures,Series C,30000000.0
24,19-01-2021,Darwinbox,Software,Mumbai,Salesforce Ventures,Seed,15000000.0
