,Date,Startup,Industry,Location,Investor,Type,Amount
0,01-04-2021,BYJU'S,Edu-tech,Bengaluru,Innoven Capital,Series F,"46,00,00,000"
1,05-04-2021,Meesho,E-commerce,Bengaluru,SoftBank Vision Fund 2,Series E,"30,00,00,000"
2,14-04-2021,Swiggy,Online Food Delivery,Bengaluru,"Amansa Holdings, Carmignac, Falcon Edge Capital, Goldman Sachs, Think Investments",Series J,"34,30,00,000"
3,07-04-2021,Groww,FinTech,Bengaluru,"MC Global Edtech, B Capital, Baron, others",Series D,"8,30,00,000"
4,14-04-2021,Beldara,E-commerce,Mumbai,Hindustan Media Ventures,Venture,"74,00,000"
5,04-03-2021,DealShare,E-commerce,"Jaipur, Rajasthan",Innoven Capital,Debt Financing,"25,00,00,000"
6,31-03-2021,Uniphore,Technology,Palo Alto,Sorenson Capital Partners,Series D,"14,00,00,000"
7,30-03-2021,Dunzo,E-commerce,Bengaluru,Krishtal Advisors Pte Ltd,Series E,"80,00,000"
8,30-03-2021,BYJU'S,Edu-tech,Bengaluru,"MC Global Edtech, B Capital, Baron, others",Series F,"46,00,00,000"
9,23-03-2021,SkilloVilla,Edu-tech,Bengaluru,"Titan Capital, others",Seed,"30,00,00,000"
10,25-03-2021,CityMall,E-commerce,Gurgaon,Accel Partners,Series A,"1,10,00,000"
11,26-03-2021,DotPe,FinTech,Gurgaon,PayU,Series A,"2,75,00,000"
12,11-02-2021,Doubtnut,Edu Tech,Gurgaon,"SIG Global, Sequoia Capital, WaterBridge Ventures and ON Mauritius",Series B,"25,00,000"
13,22-02-2021,Zomato,Hospitality,Gurgaon,"Tiger Global, Kora",Venture,"25,00,00,000"
14,19-02-2021,Fingerlix,Hospitality,Mumbai,"Rhodium Trust, Accel Partners and Swiggy",Series C,"27,47,045.20"
15,17-02-2021,Zolve,FinTech,Mumbai,Accel Partners and Lightspeed Venture Partners,Seed,"1,50,00,000"
16,15-02-2021,KreditBee,Finance,Bengaluru,Azim Premji’s PremjiInvest and South Korea’s Mirae Asset Venture,Series C,"7,50,00,000"
17,12-02-2021,Pepperfry,E-commerce,Mumbai,InnoVen Capital,Debt Financing,"47,73,958"
18,12-02-2021,Grofers,E-Commerce,Gurgaon,SoftBank Vision Fund (SVF),Unspecified,"5,50,00,000"
19,09-02-2021,Nothing,Technology,London,GV,Series A,"1,50,00,000"
20,09-02-2021,SplashLearn,EdTech,Gurgaon,Owl Ventures,Series C,"1,80,00,000"
21,15-01-2021,Digit Insurance,Financial Services,Bengaluru,"A91 Partners, Faering Capital, TVS Capital Funds",Venture,"1,80,00,000"
22,28-01-2021,Bombay Shaving Company,Consumer Goods Company,New Delhi,Reckitt Benckiser,Venture,"61,72,258.50"
23,19-01-2021,DeHaat,AgriTech Startup,Patna,Prosus Ventures,Series C,"3,00,00,000"
24,19-01-2021,Darwinbox,SaaS,Mumbai,Salesforce Ventures,Seed,"1,50,00,000"
25,18-01-2021,mfine,Health Tech Startup,Bengaluru,Heritas Capital Management,Venture Round,"1,60,00,000"
26,18-01-2021,Udayy,EdTech,Gurgaon,Sequoia Capital ,Seed Funding,"1,50,00,000"
27,11-01-2021,True Elements,Food Startup,Pune,SIDBI Venture Capital,Series,"10,00,00,000"
28,13-01-2021,Saveo,B2B E-commerce,Bengaluru,"Matrix Partners India, RTP Global, others",Seed,"40,00,000"
29,15-12-2020,Bira 91,Food and Beverage,New Delhi,"Nishant Mittal, Pankaj Chaddah and Shikha Sunil Chandak",Funding,"12,73,634.07"
30,21-12-2020,Pine Labs,Financial Services,Noida,Lone Pine Capital,Secondary Market,Undisclosed
31,15-12-2020,Zenoti,Technology Provider,Washington,Advent International,Series D,"16,00,00,000"
32,22-12-2020,Tax Buddy India,FinTech,Mumbai,Zenith Global,Seed,"10,00,000"
33,15-12-2020,Delhivery,Supply chain ,Gurgaon,Steadview Capital ,Secondary Market,"2,50,00,000"
